Date,name,isHoliday,holidayCategory,description
20160404,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日(兒童節與民族掃墓節同一日時，於前一日放假，並於四月五日補假一日)。
20160405,,是,補假,
20160409,,是,星期六、星期日,
20160410,,是,星期六、星期日,
20160416,,是,星期六、星期日,
20160417,,是,星期六、星期日,
20160423,,是,星期六、星期日,
20160424,,是,星期六、星期日,
20160430,,是,星期六、星期日,
20160501,勞動節,是,特定節日,勞工放假一日。
20160507,,是,星期六、星期日,
20160508,,是,星期六、星期日,
20160514,,是,星期六、星期日,
20160515,,是,星期六、星期日,
20160521,,是,星期六、星期日,
20160522,,是,星期六、星期日,
20160528,,是,星期六、星期日,
20160529,,是,星期六、星期日,
20160604,,否,補行上班日,
20160605,,是,星期六、星期日,
20160609,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整六月十日為放假日，並於六月四日補行上班一日。
20160610,,是,調整放假日,
20160611,,是,星期六、星期日,
20160612,,是,星期六、星期日,
20160618,,是,星期六、星期日,
20160619,,是,星期六、星期日,
20160625,,是,星期六、星期日,
20160626,,是,星期六、星期日,
20160702,,是,星期六、星期日,
20160703,,是,星期六、星期日,
20160709,,是,星期六、星期日,
20160710,,是,星期六、星期日,
20160716,,是,星期六、星期日,
20160717,,是,星期六、星期日,
20160723,,是,星期六、星期日,
20160724,,是,星期六、星期日,
20160730,,是,星期六、星期日,
20160731,,是,星期六、星期日,
20160806,,是,星期六、星期日,
20160807,,是,星期六、星期日,
20160813,,是,星期六、星期日,
20160814,,是,星期六、星期日,
20160820,,是,星期六、星期日,
20160821,,是,星期六、星期日,
20160827,,是,星期六、星期日,
20160828,,是,星期六、星期日,
20160903,軍人節,是,特定節日,軍人依國防部規定辦理。
20160904,,是,星期六、星期日,
20160910,,否,補行上班日,
20160911,,是,星期六、星期日,
20160915,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整九月十六日為放假日，並於九月十日補行上班一日。
20160916,,是,調整放假日,
20160917,,是,星期六、星期日,
20160918,,是,星期六、星期日,
20160924,,是,星期六、星期日,
20160925,,是,星期六、星期日,
20161001,,是,星期六、星期日,
20161002,,是,星期六、星期日,
20161008,,是,星期六、星期日,
20161009,,是,星期六、星期日,
20161010,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日。
20161015,,是,星期六、星期日,
20161016,,是,星期六、星期日,
20161022,,是,星期六、星期日,
20161023,,是,星期六、星期日,
20161029,,是,星期六、星期日,
20161030,,是,星期六、星期日,
20161105,,是,星期六、星期日,
20161106,,是,星期六、星期日,
20161112,,是,星期六、星期日,
20161113,,是,星期六、星期日,
20161119,,是,星期六、星期日,
20161120,,是,星期六、星期日,
20161126,,是,星期六、星期日,
20161127,,是,星期六、星期日,
20161203,,是,星期六、星期日,
20161204,,是,星期六、星期日,
20161210,,是,星期六、星期日,
20161211,,是,星期六、星期日,
20161217,,是,星期六、星期日,
20161218,,是,星期六、星期日,
20161224,,是,星期六、星期日,
20161225,,是,星期六、星期日,
20161231,,是,星期六、星期日,
20170101,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於一月二日補假一日。
20170102,,是,補假,
20170107,,是,星期六、星期日,
20170108,,是,星期六、星期日,
20170114,,是,星期六、星期日,
20170115,,是,星期六、星期日,
20170121,,是,星期六、星期日,
20170122,,是,星期六、星期日,
20170127,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日。
20170128,春節,是,放假之紀念日及節日,全國各機關學校於一月二十八日至一月三十日放假三日，其中春節初一、初二適逢星期六、日，分別於一月三十一日及二月一日補假一日。
20170129,春節,是,放假之紀念日及節日,全國各機關學校於一月二十八日至一月三十日放假三日，其中春節初一、初二適逢星期六、日，分別於一月三十一日及二月一日補假一日。
20170130,春節,是,放假之紀念日及節日,全國各機關學校於一月二十八日至一月三十日放假三日，其中春節初一、初二適逢星期六、日，分別於一月三十一日及二月一日補假一日。
20170131,,是,補假,
20170201,,是,補假,
20170204,,是,星期六、星期日,
20170205,,是,星期六、星期日,
20170211,,是,星期六、星期日,
20170212,,是,星期六、星期日,
20170218,,否,補行上班日,
20170219,,是,星期六、星期日,
20170225,,是,星期六、星期日,
20170226,,是,星期六、星期日,
20170227,,是,調整放假日,
20170228,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整二月二十七日為放假日，並於二月十八日補行上班一日。
20170304,,是,星期六、星期日,
20170305,,是,星期六、星期日,
20170311,,是,星期六、星期日,
20170312,,是,星期六、星期日,
20170318,,是,星期六、星期日,
20170319,,是,星期六、星期日,
20170325,,是,星期六、星期日,
20170326,,是,星期六、星期日,
20170401,,是,星期六、星期日,
20170402,,是,星期六、星期日,
20170403,,是,放假之紀念日及節日,全國各機關學校放假一日。
20170404,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日(兒童節與民族掃墓節同一日時，於前一日即四月三日放假)。
20170408,,是,星期六、星期日,
20170409,,是,星期六、星期日,
20170415,,是,星期六、星期日,
20170416,,是,星期六、星期日,
20170422,,是,星期六、星期日,
20170423,,是,星期六、星期日,
20170429,,是,星期六、星期日,
20170430,,是,星期六、星期日,
20170501,勞動節,是,特定節日,勞工放假一日。
20170506,,是,星期六、星期日,
20170507,,是,星期六、星期日,
20170513,,是,星期六、星期日,
20170514,,是,星期六、星期日,
20170520,,是,星期六、星期日,
20170521,,是,星期六、星期日,
20170527,,是,星期六、星期日,
20170528,,是,星期六、星期日,
20170529,,是,調整放假日,
20170530,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整五月二十九日為放假日，並於六月三日補行上班一日。
20170603,,否,補行上班日,
20170604,,是,星期六、星期日,
20170610,,是,星期六、星期日,
20170611,,是,星期六、星期日,
20170617,,是,星期六、星期日,
20170618,,是,星期六、星期日,
20170624,,是,星期六、星期日,
20170625,,是,星期六、星期日,
20170701,,是,星期六、星期日,
20170702,,是,星期六、星期日,
20170708,,是,星期六、星期日,
20170709,,是,星期六、星期日,
20170715,,是,星期六、星期日,
20170716,,是,星期六、星期日,
20170722,,是,星期六、星期日,
20170723,,是,星期六、星期日,
20170729,,是,星期六、星期日,
20170730,,是,星期六、星期日,
